Title,City,District,Building_Area,Land_Area,Price,Area_Total,Category
"Townhouse 2 lntai.,",Jakarta,Lubang Buaya,80,72,850000000,152,Small
"Siap Huni,Lokasi dekat Tol Brigif Jagakarsa...",Jakarta,Jagakarsa,130,88,1750000000,218,Medium
Rumah Minimalis 2 Lantai Siap Huni Dekat Cilandak Harga Nego Bisa KPR,Jakarta,Cilandak,120,78,1500000000,198,Medium
Siap Indent di Lokasi Premium Jagakarsa/ THE COACH HOUSE,Jakarta,Tanjung Barat,130,63,1960000000,193,Medium
rumah Classic 3 lantai mewah murah,Jakarta,Jagakarsa,230,80,2600000000,310,Large
DIJUAL 2 UNIT RUMAH BARU SIAP HUNI DURI MAS,Jakarta,Duri Kepa,125,58,1950000000,183,Medium
rumah Classic modern termurah jagakarsa,Jakarta,Jagakarsa,130,95,1700000000,225,Medium
Runah Murah minimalis dan Cantik dengan Harga terjangkau di Jakarta Pu,Jakarta,Johar Baru,30,16,370000000,46,Small
rumah sia huni 3 lantai kebagusan,Jakarta,Kebagusan,250,108,3600000000,358,Large
Rumah Menteng 2 lantai,Jakarta,Menteng Dalam,609,830,78000000000,1439,Large
Jual Cepat Rumah siap huni,Jakarta,Duren Sawit,350,250,4900000000,600,Large
RUMAH MURAH INDENT DI JAKARTA PUSAT,Jakarta,Cempaka Putih,37,20,460000000,57,Small
Rumah 3 Lantai Di Cempaka Putih Tengah Dgn Konsep Smart Home Jak Pus,Jakarta,Cempaka Putih,85,30,1240000000,115,Small
"Jual Rumah Jakarta - Rumah Lokasi PEGANGSAAN, MENTENG, JAKARTA PUSAT - NEGO !!",Jakarta,Pegangsaan,145,95,5200000000,240,Medium
Dijual Rumah Baru Pondok Indah,Jakarta,,462,269,15000000000,731,Large
"Rumah Baru Siap Huni Pesangrahan Jaksel, NEGO SAJA",Jakarta,Pesanggrahan,180,141,2500000000,321,Large
Dijual Cepat Rumah Kelapa Gading Kelapa Cengkir Timur,Jakarta,Kelapa Gading,162,162,3650000000,324,Large
Rumah Dengan Promo Harvest City Cibubur,Jakarta,Cibubur,37,72,500000000,109,Small
"Rumah Dijual Baru Desain Minimalis, KPR DP 0% Dekat Tol Cibubur",Jakarta,Cibubur,88,70,1382000000,158,Small
"Rumah Kelapa Gading BCS 6x14m 2,5 lantai, minimalis bagus, jalan 2 mobil",Jakarta,Kelapa Gading,150,84,1650000000,234,Medium
Dijual Cepat Rumah Cantik Mewah Di City Resort Hawaii Jalan Boulevard,Jakarta,Cengkareng,504,144,4400000000,648,Large
"Rumah Asri kebayoran lama, Jakarta Selatan",Jakarta,Kebayoran Lama,340,540,8800000000,880,Large
DIJUAL RUMAH DUREN SAWIT,Jakarta,Duren Sawit,600,807,17000000000,1407,Large
RUMAH SIAP BANGUN DI JAKARTA TIMUR DENGAN LINGKUNGAN ASRI DAN NYAMAN,Jakarta,Lubang Buaya,60,92,1150000000,152,Small
Mudah Punya Rumah Hanya Harvest City Cibubur,Jakarta,Cibubur,30,60,500000000,90,Small
DIJUAL RUMAH CANTIK TERAWAT 2 LANTAI POSISI HOOK SIAP HUNI DEKAT MRT,Jakarta,Lebak Bulus,400,241,5000000000,641,Large
The Ridge Crystal Ada Club House Perumahan Harvest City,Jakarta,Cibubur,42,72,700000000,114,Small
"Pondok indah,Metro Alam,Bulevard,udara Sejuk 300m dr Lap Golf, PI Mall",Jakarta,Pondok Indah,640,940,38500000000,1580,Large
Rumah MEWAH Pinggir Jalan Dekat Exit Tol JORR 2 Ciledug - Kebayoran Lama,Jakarta,Pesanggrahan,450,435,7200000000,885,Large
"Rumah Sunter Agung Barat 9x11m 2,5 lantai rapi, tinggal masuk, murah",Jakarta,Sunter Agung,148,99,2400000000,247,Medium
Dijual Rumah Mewah 3 Lantai dan Siap Huni Perumahan Pondok Bambu,Jakarta,Pondok Bambu,550,260,4500000000,810,Large
Rumah di Jual Komplek Large Dekat Tol Bambu Apus Cipayung Jakarta Timur,Jakarta,Cipayung,140,78,1495000000,218,Medium
RUMAH SIAP HUNI DEKAT PIZZA HUT KEMANG,Jakarta,Kemang,610,539,10870000000,1149,Large
DiJual Rumah Siap Huni,Jakarta,Jatinegara,75,105,1300000000,180,Small
"Rumah Mewah bebas banjir di Cipayung, Jaktim",Jakarta,,80,73,1002540000,153,Small
RUMAH MURAH 2LANTAI GN SINDUR (PROMO 3JUTA 5TAHUN),Jakarta,Cilandak,45,80,314000000,125,Small
